Deal Router (Excel),,,,,,,,,,,
"Excel-compatible router (no REGEX functions). If results don’t update: Formulas → Calculation Options → Automatic, then press F9.",,,,,,,,,,,
Inputs,,,,,,,,,,,
Industry,supplements,"Keyword (e.g., trucking, construction, restaurant)",,,,,,,,,
State (2-letter),NJ,"e.g., CA, NY",,,,,,,,,
Position Needed,1st,Any / 1st / 2nd / 3rd / 4th / 5th,,,,,,,,,
Monthly Revenue,189000,"Numbers only (e.g., 75000)",,,,,,,,,
Time in Business (months),36,"Numbers only (e.g., 18)",,,,,,,,,
Neg Days / NSFs (monthly),0,"Numbers only (e.g., 4)",,,,,,,,,
Funding Amount Requested,,"Numbers only (e.g., 60000)",,,,,,,,,
Deposits / Month,2,,,,,,,,,,
Credit Score (FICO),800,,,,,,,,,,
Funder,Fit,Reason,Score,Positions,States,Industry NO,Industry MAYBE,Industry YES,Notes,Deposits OK,FICO OK
Mint Funding,YES,OK,6,1st 2nd 3rd 4th 5th,All 50,Not specified,Trucking (min $35k/mo rev); Construction (min $35k/mo rev),Not specified,NY/CA require 4 months of statements; Side-by-side available; Terms up to 160 days/32 weeks,FAIL,#NAME?
Black Rok,NO,Position mismatch,5,2nd 3rd 4th 5th 6th 7th 8th 9th 10th,All except TX,Nonprofits; 613 merchants; Deals behind LOC; (Also “do not fund behind lines of credit”),Trucking (min $50K/mo rev); Construction (min $50K/mo rev); Auto sales (min $200K/mo rev); Cannabis; Insurance; Real estate; Farms; Lawyers,Appliance repair; Assisted living/rehab; Auto repair; Barber/beauty; Childcare; Chiropractic; Clothing; Convenience/general store; Cosmetics; Cosmetic surgery; Dentists; Dry cleaning/laundry; Food & beverage; Funeral home; Hair/nail/skin care; Health spa; Healthcare,"Min monthly ending balance $1,000; Restricted state: TX; Defaults funded only if 2nd position AND 1st has proof of 30 days payment history (also ok if not recent 1-2 months); Do NOT fund “613 merchants”; Do NOT fund behind lines of credit; Standard renewal %: 45%; Standard origination fee: 10%; Max upsell: 20%; Preferred industries include: appliance repair, assisted living/rehab, auto repair, barber/beauty, childcare, chiro, clothing, convenience/general store, cosmetics, cosmetic surgery, dentists, dry cleaning/laundry, food & beverage, funeral home, hair/nail/skin care, health spa, healthcare; Industry rules: Trucking OK (min $50K rev), Construction OK (min $50K rev), Auto Sales OK (min $200K rev), Cannabis OK, Insurance/Real Estate/Farms/Lawyers OK, Nonprofits NO; Contacts: Daniel Smith (daniel@blckrok.com, 424-599-8660) / David Rubin (deals@blckrok.com, 424-777-2705); “Will never take deal to final and kill it unless something is found upon login”",FAIL,#NAME?
Fintegra,YES,OK,6,1st/2nd/3rd (A paper: 2nd/3rd preferred),Not specified,Attorneys/law firms; Auto dealers; Financial services; Furniture retailers; Gambling/gaming; Nail salons; Non-profits; Real estate brokers/agents/flippers; Trucking & movers,Auto repair (min 3 yrs TIB + $30K/mo rev); Construction (min 3 yrs TIB + $30K/mo rev); Consulting (no sole props); Home health care (private insurance only); Security services (min 7 yrs); Staffing (min 5 yrs),Preferred: Healthcare; Retail (and “other” per guide),Not specified,FAIL,#NAME?
"Highland Hill Capital, LLC",NO,Position mismatch,5, 2nd 3rd 4th 5th 6th 7th 8th,Restricted: CA / VA,Investors; Bail bonds,Not specified,Not specified,"MCA products: Reverse Consolidations + Straight Positions; Bankruptcies: no open BKs; 2+ case-by-case; Prohibited industries: Investors / Bail Bonds; Funding process: Signed docs + manual bank login + funding call; “as little as 4 hours” funding; Stips to fund: DL/VC/merchant contact info, proof of ownership, A/R and/or CC statement (A/R invoices may be requested); Submissions: Submissions@highlandhillcap.com (CC ISO manager); Exclusivity: first ISO w/ correctly signed contract/disclosure is ISO of record for 5 business days; Offers repeat for 10 business days; Commission grid: 1.499=12 pts, 1.459=10, 1.429=8, 1.399=6, 1.369=3 (pending eligibility)",FAIL,#NAME?
MNR Capital Group,NO,Position mismatch,5, 2nd 3rd 4th 5th 6th 7th 8th,ALL 50 STATES INCLUDING Puerto Rico; Hawaii; Alaska,Legal; Cannabis; Adult Entertainment,Trucking – min 5 trucks & $150K+/mo rev; Construction – $150K+/mo rev; Auto Sales – $150K/mo,Not specified,Commission: up to 13 points on 1.499; Bonus (this year): fund 3 deals = 18 points; Max funding $500K; Call 973-200-4077,OK,#NAME?
FirstLine Advance,YES,OK,6,1st 2nd 3rd 4th 5th 6th 7th 8th 9th 10th,Not specified,Auto Dealers; Gas stations; Law Firms; Cannabis,Construction/Trucking require $50K/mo rev,Not specified,Same day funding; 2 hours or less submission response; Commish: 12% on a 1.50; Max upsell: 1.50; Submit: subs@firstlineadvance.com; (646) 585-6981 / (929) 592-3073; ISO email: isopartners@firstlineadvance.com,FAIL,#NAME?
Family Funding Group,YES,OK,6,1st  2nd 3rd 4th 5th 6th 7th 8th 9th 10th 11th,Not specified,None stated,Bi-weekly (case-by-case on renewals),All industries,B-D paper; ISO comp: New fundings 10-15 points; Renewals 10-17 points; Submissions: john@familyfundinggroup.com,OK,#NAME?
